id,Name,AccountNumber,AcctType,BillingStreet,BillingCity,BillingState,BillingPostalCode,Phone,Fax,Email,Status,DateStarted,DateEnded
132,BJs Wholesale Club Inc.,32,Customer - Channel,92766 Red Robin Run,ESTELLINE,pa,63401,221-191-5879,678-493-7192,WilliamFigueiredo@example.com,InActive,2017-01-03 15:11:11,2017-10-06 11:18:11
133,Fleming Companies Inc.,33,Customer - Direct,35275 Gentle River Road,DOVER,md,61266,700-650-3223,733-595-5620,LucilleHumphreys@example.com,InActive,2011-06-29 09:07:35,2019-03-31 10:53:23
134,Petco Animal Supplies Inc.,34,Customer - Channel,12387 Lost Creek Run,ATLANTA,de,10520,522-828-6838,839-172-6567,JosephGale@example.com,InActive,2017-02-23 16:04:13,2019-01-08 13:40:53
135,The AES Corporation,35,Customer - Channel,74159 Ivory Timber Gate,MARBLE HILL,co,35905,757-802-5187,517-462-5821,AntonioSoukup@example.com,InActive,2004-10-04 22:18:36,2018-01-04 05:58:15
136,Rohm & Haas Co.,36,Customer - Direct,1980 Cinder Goose Lace,INDIAN HEAD,in,95252,138-124-9835,860-224-8134,DiegoThayer@example.com,InActive,2016-09-29 20:38:58,2018-12-12 08:08:51
137,Noble Energy Inc,37,Customer - Direct,20093 Cinder Nest Court,LASCASSAS,md,01902,132-954-3334,779-968-1389,KennethAnderson@example.com,InActive,2009-05-20 02:58:05,2017-08-22 08:06:13
138,Toys R Us Inc,38,Customer - Channel,93585 Twin Bear Wander,BESSEMER,ny,12438,137-825-1271,281-815-5342,ElizabethMarkert@example.com,InActive,2016-05-31 05:30:19,2019-03-18 02:10:03
139,Coventry Health Care Inc.,39,Customer - Direct,2355 Broad Brook Alcove,SILVER SPRINGS,mi,19487,229-987-5066,271-677-5257,KathleenDisanto@example.com,InActive,2008-04-07 11:11:42,2018-07-12 09:23:23
140,Unified Western Grocers Inc,40,Customer - Direct,60236 Twin Dale Pass,MIAMI,ca,51038,323-925-6753,370-633-3985,MaryMartinez@example.com,InActive,2013-01-16 12:52:18,2018-12-15 00:50:19
141,Avery Dennison Corporation,41,Customer - Direct,54606 Happy Stone Race,BUTLER,ca,93725,702-240-5259,901-433-4709,BrittanyCosta@example.com,InActive,2012-08-26 00:19:59,2019-07-16 13:36:06
142,Tech Data Corporation,42,Customer - Direct,60350 Quaking Axe Alcove,FORBES,al,67731,303-139-1186,464-298-3911,GraceWakefield@example.com,InActive,2008-03-13 09:59:33,2017-08-12 19:41:34
143,The MONY Group Inc.,43,Customer - Direct,34150 Cinder Flower Woods,SEVILLE,mi,55311,808-705-2966,374-507-3634,BettyMazzeo@example.com,InActive,2002-09-04 13:39:21,2019-08-31 15:19:48
144,Burlington Industries Inc.,44,Customer - Channel,87228 Rustic Turtle Run,WOODLEAF,nc,40366,204-350-7540,361-438-1052,ClydeHendrix@example.com,InActive,2012-08-13 08:30:03,2019-08-19 05:44:28
145,Value City Department Stores Inc,45,Customer - Direct,2505 High Island Niche,TARIFFVILLE,ia,35478,939-381-2857,277-525-4966,JamesDavis@example.com,InActive,2005-02-20 09:44:06,2019-06-27 16:11:38
146,UAL Corporation,46,Customer - Channel,17319 Turning Diamond Circle,WOODVILLE,mi,35805,875-805-5426,207-179-4883,DonBarnett@example.com,InActive,2001-04-03 05:44:25,2018-08-17 02:56:35
147,Philip Morris Companies Inc.,47,Customer - Channel,59700 Cold Pine Flats,VAN VOORHIS,az,68954,185-698-5926,429-588-9034,BryanAlbert@example.com,InActive,2003-11-09 17:05:43,2017-11-08 10:05:02
148,Air Products and Chemicals Inc.,48,Customer - Direct,19667 Windy Bird Meadow,SUNLAND,ga,11421,362-622-5673,773-754-3086,MichaelBryan@example.com,InActive,2013-01-31 02:47:22,2017-06-22 15:46:02
149,Nucor Corp,49,Customer - Channel,1492 Orange Cottage Park,HECKER,il,95315,201-742-9327,433-475-9673,PauletteMcclure@example.com,InActive,2017-09-13 18:37:22,2018-02-14 17:49:15
150,American Electric Power Company Inc.,50,Customer - Direct,37447 Square Creek Lane,NEWMANSTOWN,sc,70715,173-344-2779,154-612-2014,JustinRivas@example.com,InActive,2004-06-08 06:19:26,2017-12-11 13:37:03
151,Occidental Petroleum Corp,51,Customer - Channel,13099 Honey Blossom Vista,MARCUS HOOK,pa,97441,552-446-7687,355-663-7041,JillElliott@example.com,InActive,2011-07-10 16:04:00,2017-07-28 13:02:23
152,GenCorp Inc.,52,Customer - Channel,43568 Burning Horse Place,WADLEY,oh,10021,833-132-8679,211-673-6252,PaulJimenez@example.com,InActive,2003-01-03 01:01:46,2018-06-24 19:26:15
153,UnumProvident Corporation,53,Customer - Direct,28329 Quaint View Meadow,NORWALK,md,16235,305-363-3747,555-864-9523,MelbaEvans@example.com,InActive,2017-10-24 15:32:49,2019-04-23 08:47:12
154,Performance Food Group Co.,54,Customer - Channel,398 Pleasant Fox Bluff,ALAMO,fl,48122,665-346-8314,823-233-9622,AlmaMitchell@example.com,InActive,2008-01-05 01:04:36,2019-08-01 21:17:45
155,ABM Industries Incorporated,55,Customer - Direct,35049 Tender Forest Summit,SALEM,wa,83601,161-189-5720,335-386-9687,WayneHesser@example.com,InActive,2014-02-26 18:01:43,2019-06-20 14:55:00
156,The Allstate Corporation,56,Customer - Direct,20483 Umber River Wander,MEDICINE PARK,tn,75002,726-690-4799,214-248-7628,SherrieJones@example.com,InActive,2019-04-26 09:10:21,2017-02-20 03:45:08
157,IDT Corporation,57,Customer - Direct,73682 Rustic Butternut Bend,ALGER,in,55706,334-920-1270,413-633-3184,MariaOberle@example.com,InActive,2014-12-07 14:30:47,2018-05-21 02:17:26
158,Chiquita Brands International Inc.,58,Customer - Direct,5973 Rough Cloud Vale,SWEET BRIAR,ca,65344,690-180-4052,985-140-6453,NancyStinnett@example.com,InActive,2011-09-06 22:57:49,2018-09-18 14:10:00
159,Stater Bros. Holdings Inc.,59,Customer - Channel,76082 Pretty Willow Pace,CHARLESTON,nj,61546,477-475-4997,474-231-1506,CliffordCribbs@example.com,InActive,2014-03-26 21:23:41,2019-03-11 11:53:53
160,Federal Mogul Corp.,60,Customer - Direct,3015 Quaint Lamb Cut,MOUNT HOOD PARKDALE,ca,41092,644-342-4662,487-512-7046,RalphWilliams@example.com,InActive,2016-04-14 13:07:14,2017-05-21 20:15:19
161,Jones Apparel Group Inc.,61,Customer - Direct,33967 Colonial Bluff Edge,GLEN ELDER,tn,46816,700-643-3139,399-210-5203,RichardFigueroa@example.com,InActive,2011-04-14 12:37:49,2017-03-13 06:29:07
162,Sprint Corp.,62,Customer - Channel,1255 Bright Pine Woods,GIBSONBURG,al,65611,985-116-2977,733-857-1590,BryantThompson@example.com,InActive,2002-11-23 01:25:45,2018-12-26 21:45:57
163,Budget Group Inc.,63,Customer - Direct,3727 Lonely Crow Road,SOUTH HACKENSACK,az,54324,548-488-3372,996-335-1812,BonitaGies@example.com,InActive,2019-04-29 03:07:34,2018-10-03 03:06:58
164,Graybar Electric Company Inc.,64,Customer - Channel,61284 Happy Spring Gardens,SAN JOSE,md,35649,209-186-7376,747-941-4728,AbeButler@example.com,InActive,2001-01-15 20:59:53,2019-02-23 22:40:02
165,Energizer Holdings Inc.,65,Customer - Direct,6683 Sweet Nest Glen,CORAL,tn,67213,354-641-6565,945-216-7513,EmmaNorman@example.com,InActive,2017-05-16 18:40:27,2018-02-13 00:31:30
166,SBC Communications Inc,66,Customer - Direct,14490 Pied Willow Court,DUNDEE,ca,88517,859-189-7434,768-739-6150,MildredFields@example.com,InActive,2002-02-22 18:26:08,2019-08-04 23:04:58
167,M & T Bank Corporation,67,Customer - Channel,44771 Crimson Embers Dell,PARTRIDGE,ny,59471,761-699-8479,625-241-9696,MichaelGonzalez@example.com,InActive,2011-11-24 13:58:19,2018-08-27 17:48:29
168,Phillips Van Heusen Corp.,68,Customer - Channel,3296 Twin Bear Bluff,LORANE,oh,68380,970-765-2584,416-130-9806,JoanButler@example.com,InActive,2000-12-26 18:04:00,2019-01-27 04:34:56
169,MDU Resources Group Inc.,69,Customer - Channel,54343 Dusty Lake Grove,NASHVILLE,ca,30678,139-274-5775,256-652-8770,MaryMadison@example.com,InActive,2005-01-09 02:06:04,2017-02-21 01:49:16
170,Comdisco Inc.,70,Customer - Direct,11056 Auburn Pebble Bank,VEEDERSBURG,ca,28551,631-207-1818,722-300-4143,MelisaTrainer@example.com,InActive,2009-08-29 09:40:46,2019-01-12 00:15:46
171,Lowes Companies Inc.,71,Customer - Direct,8164 Indian Bridge Flats,HAMPSTEAD,ks,94620,590-527-5175,964-728-6000,JameyMackey@example.com,InActive,2008-12-05 14:48:09,2018-03-26 18:08:12
172,FPL Group Inc.,72,Customer - Direct,10590 Pied Hickory Gate,BONAPARTE,la,37212,801-262-3435,759-818-5725,KathieIrving@example.com,InActive,2017-11-04 13:05:48,2019-04-26 04:51:50
173,E*Trade Group Inc.,73,Customer - Direct,8503 Dewy Pioneer Race,EL PASO,ca,72701,401-582-1550,909-762-6059,JudithGleason@example.com,InActive,2002-10-06 08:33:19,2017-12-10 12:38:13
174,Health Net Inc.,74,Customer - Direct,54422 Round Pebble Trace,OLIVET,ms,30119,144-411-5109,289-213-7361,DouglasHampton@example.com,InActive,2015-11-03 10:27:59,2019-01-08 22:21:44
175,Olin Corp.,75,Customer - Channel,73372 Dusty Elk Meadow,PONDERAY,oh,24045,307-684-2671,288-499-9883,JackDunlap@example.com,InActive,2014-01-01 23:30:21,2017-09-18 13:56:38
176,Dean Foods Company,76,Customer - Channel,55063 Dusty Oak Canyon,SHREVEPORT,mo,42452,941-305-8703,669-108-3459,PrudenceMiramontes@example.com,InActive,2004-04-19 09:36:39,2018-10-31 16:24:37
177,Chiquita Brands International Inc.,77,Customer - Direct,50208 Quaint Autumn Vista,GUSTAVUS,ca,70821,299-407-8078,973-609-6189,SethSilvester@example.com,InActive,2012-07-14 12:03:48,2017-08-10 02:41:25
178,AMC Entertainment Inc.,78,Customer - Direct,9719 Foggy Mill Edge,ARCOLA,il,43652,840-712-1295,303-787-4220,SarahBristol@example.com,InActive,2002-08-11 08:55:29,2018-09-25 18:14:37
179,Union Planters Corp,79,Customer - Direct,25180 Bright Pond Park,WASHINGTON,ca,05775,584-643-6223,775-223-1445,DeanSpence@example.com,InActive,2013-09-20 13:57:23,2019-05-22 17:16:24
180,Alleghany Corporation,80,Customer - Direct,58181 Red Fox Trail,MONSON,nd,56474,489-381-9909,289-238-8036,MaryEvans@example.com,InActive,2012-04-12 04:31:04,2017-03-08 11:18:13
181,TruServ Corporation,81,Customer - Channel,3549 Tawny Island Pass,WEST ALEXANDRIA,fl,95035,366-893-5741,124-403-2576,FrancisMartinez@example.com,InActive,2000-07-16 09:00:18,2018-05-19 14:43:24
182,Charter One Financial Inc.,82,Customer - Direct,5699 Velvet Horse Valley,PORTLAND,de,98011,894-262-1598,848-573-9396,DavidSeybert@example.com,InActive,2018-05-24 02:39:09,2018-07-06 22:07:18
183,CBRL Group Inc.,83,Customer - Direct,791 Hidden Nectar Swale,CLAREMONT,tx,98922,228-183-6186,790-690-2296,KarenRay@example.com,InActive,2019-01-14 18:32:27,2017-03-29 22:11:51
184,SunGard Data Systems Inc.,84,Customer - Direct,17625 Fallen Creek Bluff,SHAUCK,nj,12828,474-721-4929,424-362-4829,ManuelRichey@example.com,InActive,2001-09-19 11:45:46,2019-06-20 10:52:42
185,US Airways Group Inc,85,Customer - Direct,29325 Golden Pioneer Dell,GREENTOWN,ky,97071,143-136-5041,631-751-4497,BettyFulmer@example.com,InActive,2001-11-15 12:18:52,2019-05-31 09:12:08
186,Republic Services Inc,86,Customer - Direct,29987 Colonial Holly Trail,FISHKILL,ma,76043,544-866-2888,422-948-9032,HattieHardy@example.com,InActive,2007-08-05 15:24:37,2017-02-16 23:56:57
187,Stein Mart Inc,87,Customer - Channel,2671 Fallen Quail Gardens,UNION,nh,17402,273-670-1060,553-286-6710,ShermanHenderson@example.com,InActive,2002-12-03 03:23:40,2019-04-02 22:50:54
188,Solutia Inc,88,Customer - Direct,3218 Round Forest Farms,PALCO,mi,92589,602-142-1582,157-963-9870,DannyMoriarty@example.com,InActive,2008-03-10 08:07:43,2019-01-28 16:48:16
189,TJX Companies Inc,89,Customer - Channel,76123 Harvest Pebble Lagoon,REDWOOD CITY,az,05872,481-750-7941,360-996-5571,ViolaSmith@example.com,InActive,2012-10-04 19:53:43,2017-04-15 06:39:28
190,Electronic Data Systems Corp.,90,Other,83329 Cold Pond Bank,MARTINSVILLE,ga,73756,576-292-7576,147-549-6094,KennethAnders@example.com,InActive,2003-01-11 23:32:16,2018-09-02 04:31:59
191,North Fork Bancorporation Inc,91,Customer - Channel,3979 Rough Wagon Trace,VAN NUYS,al,43971,712-243-5307,309-729-5681,BenjaminCulbertson@example.com,InActive,2014-01-29 04:27:35,2017-09-03 00:30:58
192,ConAgra Foods Inc.,92,Customer - Direct,70793 Dewy Dove Race,ROANOKE,az,12526,980-587-6239,352-111-4690,MaryAmbrose@example.com,InActive,2006-11-06 23:04:15,2018-12-30 13:59:21
193,Plains All American Pipeline LP,93,Customer - Direct,26540 Foggy Panda Pace,WILLIAMSTON,tx,16352,449-713-9257,224-733-7752,ElaineEugene@example.com,InActive,2011-09-16 21:32:43,2017-09-21 06:01:18
194,Tellabs Inc.,94,Customer - Channel,18851 Cool Blossom Pace,KENNER,hi,94145,253-890-2923,252-945-7642,MariaGeer@example.com,InActive,2004-03-16 11:50:02,2019-06-29 11:37:10
195,Beazer Homes USA Inc.,95,Customer - Direct,70289 Hazy Maple Avenue,TAOPI,ga,56359,958-718-6783,943-131-6446,JessieBrandt@example.com,InActive,2004-11-07 20:44:10,2017-08-05 07:03:30
196,Ivax Corp.,96,Customer - Channel,43828 Honey Pumpkin Field,ARAPAHOE,md,67138,233-304-2016,704-485-4229,ColleenEvans@example.com,InActive,2001-06-05 02:32:06,2018-01-11 02:23:04
197,Dollar General Corporation,97,Customer - Channel,21207 Quaking Mill Crest,TROY,ok,83239,375-545-2002,487-339-6617,YvonnePipkin@example.com,InActive,2006-11-28 17:53:21,2018-03-02 04:22:25
198,Del Monte Foods Co,98,Customer - Channel,46978 Burning Snake Drive,PHILADELPHIA,id,37888,597-965-6757,281-175-1249,StephanieSmith@example.com,InActive,2006-12-20 22:02:57,2019-02-20 05:37:08
199,MetLife Inc.,99,Customer - Direct,447 Pearl Fawn Heights,RALEIGH,ga,61920,832-273-4885,383-398-7734,JoJiminez@example.com,InActive,2017-10-06 05:43:04,2018-07-16 18:34:20
200,American Financial Group Inc.,100,Customer - Channel,1291 Lost Pumpkin Manor,HATTIESBURG,tx,54926,407-268-1398,722-896-1281,RobertDean@example.com,InActive,2000-08-28 05:17:42,2017-04-16 08:05:29
